Wilayah;Tahun;Perkotaan_Perdesaan;Sumber_Air;Total_WERT
Kota Bekasi;2020;Perkotaan;Sumur terlindung;1671,528137
Kota Bekasi;2021;Perkotaan;Air isi ulang;473315,7635
Kota Bekasi;2021;Perkotaan;Air kemasan bermerk;247945,5686
Kota Bekasi;2021;Perkotaan;Leding;10121,3303
Kota Bekasi;2021;Perkotaan;Sumur bor/pompa;121374,673
Kota Bekasi;2021;Perkotaan;Sumur terlindung;7624,848221
Kota Bekasi;2022;Perkotaan;Air isi ulang;398953,9324
Kota Bekasi;2022;Perkotaan;Air kemasan bermerk;253275,6771
Kota Bekasi;2022;Perkotaan;Lainnya;549,1385003
Kota Bekasi;2022;Perkotaan;Leding;7346,006243
Kota Bekasi;2022;Perkotaan;Mata air terlindung;151,5180037
Kota Bekasi;2022;Perkotaan;Sumur bor/pompa;190454,321
Kota Bekasi;2022;Perkotaan;Sumur terlindung;8297,721633
Kota Bekasi;2023;Perkotaan;Air hujan;406,2533968
Kota Bekasi;2023;Perkotaan;Air isi ulang;355796,0695
Kota Bekasi;2023;Perkotaan;Air kemasan bermerk;257267,4464
Kota Bekasi;2023;Perkotaan;Lainnya;58,5845315
Kota Bekasi;2023;Perkotaan;Leding;10186,94849
Kota Bekasi;2023;Perkotaan;Mata air terlindung;630,7600236
Kota Bekasi;2023;Perkotaan;Sumur bor/pompa;142388,7067
Kota Bekasi;2023;Perkotaan;Sumur terlindung;2141,963069
Kota Bogor;2019;Perkotaan;Air isi ulang;80365,77622
Kota Bogor;2019;Perkotaan;Air kemasan bermerk;51524,92713
Kota Bogor;2019;Perkotaan;Leding;91569,25468
Kota Bogor;2019;Perkotaan;Mata air terlindung;8251,803345
Kota Bogor;2019;Perkotaan;Sumur bor/pompa;48015,63371
Kota Bogor;2019;Perkotaan;Sumur tak terlindung;360,6548157
Kota Bogor;2019;Perkotaan;Sumur terlindung;22211,36408
Kota Bogor;2020;Perkotaan;Air isi ulang;95088,64607
Kota Bogor;2020;Perkotaan;Air kemasan bermerk;46046,8967
Kota Bogor;2020;Perkotaan;Leding;90537,57837
Kota Bogor;2020;Perkotaan;Mata air tak terlindung;286,5669556
Kota Bogor;2020;Perkotaan;Mata air terlindung;2852,06543
Kota Bogor;2020;Perkotaan;Sumur bor/pompa;54651,79731
Kota Bogor;2020;Perkotaan;Sumur tak terlindung;472,4369812
Kota Bogor;2020;Perkotaan;Sumur terlindung;15019,5889
Kota Bogor;2021;Perkotaan;Air isi ulang;88580,06878
Kota Bogor;2021;Perkotaan;Air kemasan bermerk;59332,58033
Kota Bogor;2021;Perkotaan;Leding;80778,08556
Kota Bogor;2021;Perkotaan;Mata air tak terlindung;105,2456055
Kota Bogor;2021;Perkotaan;Mata air terlindung;2804,836243
Kota Bogor;2021;Perkotaan;Sumur bor/pompa;51831,96019
Kota Bogor;2021;Perkotaan;Sumur tak terlindung;1481,009277
Kota Bogor;2021;Perkotaan;Sumur terlindung;19948,86413
Kota Bogor;2022;Perkotaan;Air isi ulang;92263,40404
Kota Bogor;2022;Perkotaan;Air kemasan bermerk;40520,20488
Kota Bogor;2022;Perkotaan;Lainnya;359,180757
Kota Bogor;2022;Perkotaan;Leding;88659,24692
Kota Bogor;2022;Perkotaan;Mata air tak terlindung;1143,078501
Kota Bogor;2022;Perkotaan;Mata air terlindung;10201,32863
Kota Bogor;2022;Perkotaan;Sumur bor/pompa;46127,25064
Kota Bogor;2022;Perkotaan;Sumur terlindung;33230,41805
Kota Bogor;2023;Perkotaan;Air isi ulang;87178,29591
Kota Bogor;2023;Perkotaan;Air kemasan bermerk;42512,92092
Kota Bogor;2023;Perkotaan;Lainnya;127,6689809
Kota Bogor;2023;Perkotaan;Leding;80099,61189
Kota Bogor;2023;Perkotaan;Mata air tak terlindung;486,3216122
Kota Bogor;2023;Perkotaan;Mata air terlindung;8331,464786
Kota Bogor;2023;Perkotaan;Sumur bor/pompa;37822,40682
Kota Bogor;2023;Perkotaan;Sumur terlindung;21466,35678
Kota Cimahi;2019;Perkotaan;Air isi ulang;81906,00269
Kota Cimahi;2019;Perkotaan;Air kemasan bermerk;35681,8427
Kota Cimahi;2019;Perkotaan;Leding;9860,226875
Kota Cimahi;2019;Perkotaan;Mata air terlindung;2604,593185
Kota Cimahi;2019;Perkotaan;Sumur bor/pompa;32374,50529
Kota Cimahi;2019;Perkotaan;Sumur tak terlindung;1730,549881
Kota Cimahi;2019;Perkotaan;Sumur terlindung;9994,634552
Kota Cimahi;2020;Perkotaan;Air isi ulang;95104,02373
Kota Cimahi;2020;Perkotaan;Air kemasan bermerk;40355,72348
Kota Cimahi;2020;Perkotaan;Leding;7330,488554
Kota Cimahi;2020;Perkotaan;Mata air terlindung;1709,712166
Kota Cimahi;2020;Perkotaan;Sumur bor/pompa;27220,23491
Kota Cimahi;2020;Perkotaan;Sumur tak terlindung;260,9067078
Kota Cimahi;2020;Perkotaan;Sumur terlindung;5475,811371
Kota Cimahi;2021;Perkotaan;Air isi ulang;93675,67435
Kota Cimahi;2021;Perkotaan;Air kemasan bermerk;38072,7281
Kota Cimahi;2021;Perkotaan;Leding;4322,462892
Kota Cimahi;2021;Perkotaan;Mata air terlindung;2675,276474
Kota Cimahi;2021;Perkotaan;Sumur bor/pompa;33435,23574
Kota Cimahi;2021;Perkotaan;Sumur terlindung;6389,848114
Kota Cimahi;2022;Perkotaan;Air isi ulang;87229,7133
Kota Cimahi;2022;Perkotaan;Air kemasan bermerk;33465,03015
Kota Cimahi;2022;Perkotaan;Lainnya;340,2812377
Kota Cimahi;2022;Perkotaan;Leding;5591,546985
Kota Cimahi;2022;Perkotaan;Mata air tak terlindung;179,0870712
Kota Cimahi;2022;Perkotaan;Mata air terlindung;826,6662875
Kota Cimahi;2022;Perkotaan;Sumur bor/pompa;36510,42461
Kota Cimahi;2022;Perkotaan;Sumur tak terlindung;285,4621315
Kota Cimahi;2022;Perkotaan;Sumur terlindung;9079,666454
Kota Cimahi;2023;Perkotaan;Air isi ulang;90206,82595
Kota Cimahi;2023;Perkotaan;Air kemasan bermerk;28560,43079
Kota Cimahi;2023;Perkotaan;Leding;5554,711922
Kota Cimahi;2023;Perkotaan;Mata air terlindung;1046,636405
Kota Cimahi;2023;Perkotaan;Sumur bor/pompa;29345,21383
Kota Cimahi;2023;Perkotaan;Sumur tak terlindung;404,4189932
Kota Cimahi;2023;Perkotaan;Sumur terlindung;3506,927992
Kota Cirebon;2019;Perkotaan;Air isi ulang;36596,702
Kota Cirebon;2019;Perkotaan;Air kemasan bermerk;8981,637306
Kota Cirebon;2019;Perkotaan;Leding;43607,67693
Kota Cirebon;2019;Perkotaan;Sumur bor/pompa;5074,13089
Kota Cirebon;2019;Perkotaan;Sumur terlindung;252,2462845
Kota Cirebon;2020;Perkotaan;Air isi ulang;35654,97356
Kota Cirebon;2020;Perkotaan;Air kemasan bermerk;9759,383028
Kota Cirebon;2020;Perkotaan;Leding;44619,24771
Kota Cirebon;2020;Perkotaan;Sumur bor/pompa;1905,751884
