Wilayah;Tahun;Perkotaan_Perdesaan;Sumber_Air;Total_WERT
Bekasi;2022;Perkotaan;Air kemasan bermerk;210957,8557
Bekasi;2022;Perdesaan;Lainnya;524,1137061
Bekasi;2022;Perdesaan;Leding;3029,23954
Bekasi;2022;Perkotaan;Leding;4333,680742
Bekasi;2022;Perkotaan;Mata air terlindung;1400,235307
Bekasi;2022;Perdesaan;Sumur bor/pompa;8356,895126
Bekasi;2022;Perkotaan;Sumur bor/pompa;152814,3184
Bekasi;2022;Perdesaan;Sumur tak terlindung;297,4563527
Bekasi;2022;Perdesaan;Sumur terlindung;480,8742913
Bekasi;2022;Perkotaan;Sumur terlindung;20816,82749
Bekasi;2023;Perdesaan;Air hujan;74,54930442
Bekasi;2023;Perdesaan;Air isi ulang;32707,01524
Bekasi;2023;Perkotaan;Air isi ulang;653108,4957
Bekasi;2023;Perdesaan;Air kemasan bermerk;3061,491449
Bekasi;2023;Perkotaan;Air kemasan bermerk;214605,3058
Bekasi;2023;Perkotaan;Air permukaan;1099,171316
Bekasi;2023;Perdesaan;Leding;700,0834833
Bekasi;2023;Perkotaan;Leding;9655,32464
Bekasi;2023;Perkotaan;Mata air terlindung;913,746011
Bekasi;2023;Perdesaan;Sumur bor/pompa;1384,695767
Bekasi;2023;Perkotaan;Sumur bor/pompa;170964,7872
Bekasi;2023;Perkotaan;Sumur tak terlindung;518,7438625
Bekasi;2023;Perdesaan;Sumur terlindung;2954,593013
Bekasi;2023;Perkotaan;Sumur terlindung;5689,207099
Bogor;2019;Perdesaan;Air isi ulang;14822,26726
Bogor;2019;Perkotaan;Air isi ulang;281518,8797
Bogor;2019;Perdesaan;Air kemasan bermerk;2041,331505
Bogor;2019;Perkotaan;Air kemasan bermerk;165701,0155
Bogor;2019;Perdesaan;Air permukaan;191,6338806
Bogor;2019;Perdesaan;Lainnya;267,1125793
Bogor;2019;Perkotaan;Lainnya;6433,359741
Bogor;2019;Perkotaan;Leding;63838,40393
Bogor;2019;Perdesaan;Mata air tak terlindung;6132,756466
Bogor;2019;Perkotaan;Mata air tak terlindung;12723,57269
Bogor;2019;Perdesaan;Mata air terlindung;50088,57482
Bogor;2019;Perkotaan;Mata air terlindung;74245,00623
Bogor;2019;Perdesaan;Sumur bor/pompa;16727,70395
Bogor;2019;Perkotaan;Sumur bor/pompa;185956,3911
Bogor;2019;Perdesaan;Sumur tak terlindung;6545,076834
Bogor;2019;Perkotaan;Sumur tak terlindung;60583,50049
Bogor;2019;Perdesaan;Sumur terlindung;47023,48702
Bogor;2019;Perkotaan;Sumur terlindung;530276,8353
Bogor;2020;Perdesaan;Air isi ulang;21450,25913
Bogor;2020;Perkotaan;Air isi ulang;295811,2332
Bogor;2020;Perdesaan;Air kemasan bermerk;6940,814575
Bogor;2020;Perkotaan;Air kemasan bermerk;118224,8955
Bogor;2020;Perdesaan;Air permukaan;2077,931581
Bogor;2020;Perkotaan;Air permukaan;2328,2854
Bogor;2020;Perkotaan;Lainnya;1190,686768
Bogor;2020;Perdesaan;Leding;2120,560001
Bogor;2020;Perkotaan;Leding;58436,35544
Bogor;2020;Perdesaan;Mata air tak terlindung;17717,07351
Bogor;2020;Perkotaan;Mata air tak terlindung;15387,02325
Bogor;2020;Perdesaan;Mata air terlindung;12605,57619
Bogor;2020;Perkotaan;Mata air terlindung;34780,56729
Bogor;2020;Perdesaan;Sumur bor/pompa;36075,87223
Bogor;2020;Perkotaan;Sumur bor/pompa;504848,0734
Bogor;2020;Perdesaan;Sumur tak terlindung;10682,38718
Bogor;2020;Perkotaan;Sumur tak terlindung;40962,78357
Bogor;2020;Perdesaan;Sumur terlindung;42022,53305
Bogor;2020;Perkotaan;Sumur terlindung;320390,976
Bogor;2021;Perdesaan;Air isi ulang;9703,245899
Bogor;2021;Perkotaan;Air isi ulang;374114,8874
Bogor;2021;Perdesaan;Air kemasan bermerk;1690,385155
Bogor;2021;Perkotaan;Air kemasan bermerk;135991,3753
Bogor;2021;Perkotaan;Lainnya;2082,520264
Bogor;2021;Perkotaan;Leding;51469,33858
Bogor;2021;Perdesaan;Mata air tak terlindung;15113,76968
Bogor;2021;Perkotaan;Mata air tak terlindung;52799,09576
Bogor;2021;Perdesaan;Mata air terlindung;24974,72435
Bogor;2021;Perkotaan;Mata air terlindung;103690,6551
Bogor;2021;Perdesaan;Sumur bor/pompa;11527,74163
Bogor;2021;Perkotaan;Sumur bor/pompa;353205,6883
Bogor;2021;Perdesaan;Sumur tak terlindung;5979,88916
Bogor;2021;Perkotaan;Sumur tak terlindung;18926,38025
Bogor;2021;Perdesaan;Sumur terlindung;50473,73228
Bogor;2021;Perkotaan;Sumur terlindung;440348,9828
Bogor;2022;Perdesaan;Air isi ulang;13035,51281
Bogor;2022;Perkotaan;Air isi ulang;371013,4361
Bogor;2022;Perdesaan;Air kemasan bermerk;462,4683879
Bogor;2022;Perkotaan;Air kemasan bermerk;126733,8398
Bogor;2022;Perdesaan;Air permukaan;1157,738284
Bogor;2022;Perkotaan;Lainnya;5080,833371
Bogor;2022;Perkotaan;Leding;53536,62046
Bogor;2022;Perdesaan;Mata air tak terlindung;12416,8738
Bogor;2022;Perkotaan;Mata air tak terlindung;32450,78928
Bogor;2022;Perdesaan;Mata air terlindung;32016,70294
Bogor;2022;Perkotaan;Mata air terlindung;101771,8397
Bogor;2022;Perdesaan;Sumur bor/pompa;4892,974524
Bogor;2022;Perkotaan;Sumur bor/pompa;378502,6858
Bogor;2022;Perdesaan;Sumur tak terlindung;4185,777904
Bogor;2022;Perkotaan;Sumur tak terlindung;27464,94596
Bogor;2022;Perdesaan;Sumur terlindung;47924,79133
Bogor;2022;Perkotaan;Sumur terlindung;453717,8089
Bogor;2023;Perdesaan;Air hujan;68,72945273
Bogor;2023;Perdesaan;Air isi ulang;14068,77898
Bogor;2023;Perkotaan;Air isi ulang;368858,5929
Bogor;2023;Perdesaan;Air kemasan bermerk;251,3033159
Bogor;2023;Perkotaan;Air kemasan bermerk;123674,8547
Bogor;2023;Perkotaan;Lainnya;5372,949506
Bogor;2023;Perdesaan;Leding;392,4997541
Bogor;2023;Perkotaan;Leding;34400,00241
Bogor;2023;Perdesaan;Mata air tak terlindung;4685,612652
Bogor;2023;Perkotaan;Mata air tak terlindung;34836,30345
Bogor;2023;Perdesaan;Mata air terlindung;28848,50173
Bogor;2023;Perkotaan;Mata air terlindung;79901,46282
Bogor;2023;Perdesaan;Sumur bor/pompa;3267,739826
Bogor;2023;Perkotaan;Sumur bor/pompa;405984,2646
Bogor;2023;Perdesaan;Sumur tak terlindung;1635,445067
Bogor;2023;Perkotaan;Sumur tak terlindung;19671,40418
Bogor;2023;Perdesaan;Sumur terlindung;31856,91698
Bogor;2023;Perkotaan;Sumur terlindung;343719,5778
Ciamis;2019;Perdesaan;Air isi ulang;24208,20007
Ciamis;2019;Perkotaan;Air isi ulang;32970,12914
Ciamis;2019;Perdesaan;Air kemasan bermerk;2301,696121
Ciamis;2019;Perkotaan;Air kemasan bermerk;9081,662364
Ciamis;2019;Perdesaan;Air permukaan;570,9188232
Ciamis;2019;Perdesaan;Leding;3046,197617
Ciamis;2019;Perkotaan;Leding;9422,947975
Ciamis;2019;Perdesaan;Mata air tak terlindung;23341,9122
Ciamis;2019;Perkotaan;Mata air tak terlindung;5106,380679
Ciamis;2019;Perdesaan;Mata air terlindung;34205,42162
Ciamis;2019;Perkotaan;Mata air terlindung;18279,30444
Ciamis;2019;Perdesaan;Sumur bor/pompa;16965,57169
Ciamis;2019;Perkotaan;Sumur bor/pompa;32675,37183
Ciamis;2019;Perdesaan;Sumur tak terlindung;23205,12257
Ciamis;2019;Perkotaan;Sumur tak terlindung;5973,710617
Ciamis;2019;Perdesaan;Sumur terlindung;99378,39025
