Wilayah;Tahun;Perkotaan_Perdesaan;Kondisi;Status;total_WERT
Bandung Barat;2020;Perdesaan;Keruh;Tidak;130425,3134
Bandung Barat;2021;Perdesaan;Keruh;Tidak;118547,6306
Bandung Barat;2022;Perdesaan;Keruh;Tidak;112914,2647
Bandung Barat;2023;Perdesaan;Keruh;Tidak;105313,1958
Bandung Barat;2019;Perkotaan;Keruh;Tidak;328622,3899
Bandung Barat;2020;Perkotaan;Keruh;Tidak;331395,6378
Bandung Barat;2021;Perkotaan;Keruh;Tidak;365114,1496
Bandung Barat;2022;Perkotaan;Keruh;Tidak;356021,7484
Bandung Barat;2023;Perkotaan;Keruh;Tidak;379886,5202
Bekasi;2019;Perdesaan;Berasa;Ya;729,2807617
Bekasi;2020;Perdesaan;Berasa;Ya;3361,479222
Bekasi;2021;Perdesaan;Berasa;Ya;859,3502078
Bekasi;2022;Perdesaan;Berasa;Ya;2793,06131
Bekasi;2023;Perdesaan;Berasa;Ya;139,058787
Bekasi;2019;Perkotaan;Berasa;Ya;17843,62811
Bekasi;2020;Perkotaan;Berasa;Ya;37442,60095
Bekasi;2021;Perkotaan;Berasa;Ya;53890,58455
Bekasi;2022;Perkotaan;Berasa;Ya;8715,293717
Bekasi;2023;Perkotaan;Berasa;Ya;6154,072852
Bekasi;2019;Perdesaan;Berasa;Tidak;81490,44474
Bekasi;2020;Perdesaan;Berasa;Tidak;79959,70772
Bekasi;2021;Perdesaan;Berasa;Tidak;55715,55446
Bekasi;2022;Perdesaan;Berasa;Tidak;56365,37308
Bekasi;2023;Perdesaan;Berasa;Tidak;40743,36947
Bekasi;2019;Perkotaan;Berasa;Tidak;922883,304
Bekasi;2020;Perkotaan;Berasa;Tidak;965663,2192
Bekasi;2021;Perkotaan;Berasa;Tidak;998108,8517
Bekasi;2022;Perkotaan;Berasa;Tidak;1063132,093
Bekasi;2023;Perkotaan;Berasa;Tidak;1050400,709
Bekasi;2019;Perdesaan;Berbau;Ya;1776,056412
Bekasi;2019;Perkotaan;Berbau;Ya;20905,13036
Bekasi;2020;Perkotaan;Berbau;Ya;18892,08777
